,industry,naics,emp13_bay,emp16_bay,emp13_usa,emp16_usa,natl_growth_rate,natl_growth_share,natl_industry_growth_rate,industry_mix,local_industry_growth_rate,local_competitiveness,local_emp_delta
73,624///,624///,71716,79168,88959380,102540346,0.15140067138634017,10857.850549142771,0.1526648004965862,90.65828327040481,0.10390986669641362,-3496.508832413177,7452
74,711///,711///,14136,17080,8392790,11101488,0.15140067138634017,2140.1998907173047,0.3227410670349193,2422.0678328883146,0.2082625919637804,-1618.267723605619,2944
75,712///,712///,5380,5829,2318999,2747021,0.15140067138634017,814.5356120585101,0.18457187778002493,178.461090398024,0.08345724907063197,-543.9967024565341,449
76,713///,713///,43352,44867,41886277,51064681,0.15140067138634017,6563.521905940619,0.21912675600173298,2936.061220246509,0.034946484591253,-7984.583126187128,1515
77,721///,721///,48919,54807,59494681,66157551,0.15140067138634017,7406.369443548375,0.11199101983587406,-1927.8807441972515,0.12036223144381529,409.51130064887695,5888
78,722///,722///,273722,317290,335404421,374458473,0.15140067138634017,41441.694573211804,0.11643869178456655,-9569.86298055668,0.15916879169376227,11696.168407344872,43568
79,811///,811///,31471,33784,36012568,39454302,0.15140067138634017,4764.730529199512,0.09557035754850918,-1757.0358067903792,0.07349623462870579,-694.6947224091324,2313
80,812///,812///,39507,43374,40982312,44800109,0.15140067138634017,5981.386324460141,0.09315718937477221,-2301.0252438310154,0.09788138810843648,186.6389193708742,3867
81,813///,813///,60458,61217,87601417,89888050,0.15140067138634017,9153.381790675354,0.026102694206419058,-7575.265104343671,0.012554169836911575,-819.1166863316834,759
82,211///,211///,4,22,1091686,969662,0.15140067138634017,0.6056026855453607,-0.11177573038401152,-1.0527056070814067,4.5,18.447102921536047,18
83,486///,486///,49,158,138942,332880,0.15140067138634017,7.418632897930668,1.39581983849376,60.97653918826356,2.2244897959183674,40.604827913805764,109
84,113///,113///,18,18,758381,915070,0.15140067138634017,2.725212084954123,0.20660987023672797,0.9937655793069804,0.0,-3.7189776642611037,0
85,521///,521///,0,0,0,0,0.15140067138634017,0.0,,,,,0
